symbol,strategy,entry_ts,exit_ts,side,entry_price,exit_price,quantity,raw_pnl,entry_fee,exit_fee,pnl_net,pnl_bps
BTCUSDT,S3,1780502259199,1780502270866,Long,66115.32042,66089.07954,1.0,-26.24087999999756,36.363426231000005,36.34899374700001,-98.95329997799757,-14.966773109378144
BTCUSDT,S3,1780502328420,1780502404683,Long,66097.51686,66095.97816,1.0,-1.53870000000461,36.353634273000004,36.352787988,-74.24512226100461,-11.232664370472783
BTCUSDT,S3,1780529425665,1780529919670,Long,64478.8932,64242.149000000005,1.0,-236.74419999999373,35.46339126,35.333181950000004,-307.5407732099937,-47.69634805238774
BTCUSDT,S3,1780529960971,1780530102339,Long,64292.655960000004,64250.1474,1.0,-42.508560000002035,35.360960778000006,35.337581070000006,-113.20710184800205,-17.608092270823967
BTCUSDT,S3,1780530109296,1780530124069,Long,64292.95602,64287.23998,1.0,-5.716039999999339,35.361125811,35.357981989,-76.43514779999934,-11.888572641802657
BTCUSDT,S3,1780530131493,1780530215969,Long,64293.056039999996,64249.34756,1.0,-43.70847999999387,35.361180822,35.337141158,-114.40680197999387,-17.79458140997615
BTCUSDT,S3,1780530308674,1780530428952,Long,64269.95142,64235.35036,1.0,-34.60106000000087,35.348473281000004,35.329442698,-105.27897597900088,-16.380746157875482
BTCUSDT,S3,1780530439275,1780530474174,Long,64288.65516,64275.142400000004,1.0,-13.512759999997797,35.358760338,35.35132832000001,-84.22284865799782,-13.100732695121104
BTCUSDT,S3,1780530553521,1780530583026,Long,64277.452919999996,64237.05002,1.0,-40.40289999999368,35.352599106,35.330377511,-111.08587661699369,-17.28224619529521
BTCUSDT,S3,1780530601865,1780530633753,Long,64245.74658,64227.551920000005,1.0,-18.194659999993746,35.335160619,35.325153556000004,-88.85497417499374,-13.830483558059345
BTCUSDT,S3,1780530645069,1780530671352,Long,64294.65636,64187.25998,1.0,-107.39637999999832,35.362060998000004,35.302992989,-178.06143398699834,-27.694592998521212
BTCUSDT,S3,1780530676241,1780530892441,Long,64219.8414,64060.48534000001,1.0,-159.35605999999098,35.32091277,35.233266937,-229.91023970699098,-35.80049945545194
BTCUSDT,S3,1780530906905,1780530979765,Long,64119.8214,64082.6809,1.0,-37.14050000000134,35.26590177,35.245474495,-107.65187626500133,-16.789172819655004
BTCUSDT,S3,1780530996206,1780531037488,Long,64165.8306,64087.18,1.0,-78.65060000000085,35.29120683,35.247949000000006,-149.18975583000085,-23.25065450489171
BTCUSDT,S3,1780531054063,1780531103177,Long,64102.21788,64054.6865,1.0,-47.53137999999308,35.256219834,35.230077575,-118.01767740899308,-18.410857114167776
BTCUSDT,S3,1780531175709,1780531533048,Long,64100.21748,64326.432140000004,1.0,226.2146600000051,35.255119614,35.379537677,155.5800027090051,24.271368932179964
BTCUSDT,S3,1780558545960,1780558610124,Long,63801.45774,63818.33378,1.0,16.87604000000283,35.090801757,35.100083579,-53.31484533599717,-8.35636789887509
BTCUSDT,S3,1780558721766,1780559283201,Long,63837.66498,63776.7421,1.0,-60.92287999999826,35.110715739,35.077208155,-131.11080389399825,-20.53815783128574
BTCUSDT,S3,1780559290194,1780559709502,Long,63770.35152,63727.252,1.0,-43.09951999999612,35.073693336,35.0499886,-113.22320193599612,-17.754834219548947
BTCUSDT,S3,1780559713321,1780560013029,Long,63752.64798,63534.690520000004,1.0,-217.9574599999978,35.063956389000005,34.944079786,-287.96549617499784,-45.16918203387194
BTCUSDT,S3,1780587018701,1780587027901,Long,64007.09886,63976.00224,1.0,-31.09661999999662,35.203904373,35.186801232,-101.48732560499661,-15.855635923598962
BTCUSDT,S3,1780587141201,1780587143201,Long,64032.904019999994,64000.197400000005,1.0,-32.706619999989925,35.218097211,35.200108570000005,-103.12482578098994,-16.10497405346164
BTCUSDT,S3,1780587299801,1780587389301,Long,63926.382719999994,63838.2298,1.0,-88.15291999999317,35.159510495999996,35.11102639,-158.42345688599318,-24.78217132664834
BTCUSDT,S3,1780587425101,1780587426101,Long,63948.48714,63900.01744,1.0,-48.46969999999419,35.171667927,35.145009592,-118.78637751899419,-18.575322549685918
BTCUSDT,S3,1780587543201,1780587575701,Long,63872.772,63889.81948,1.0,17.047480000001087,35.1300246,35.139400714000004,-53.221945313998916,-8.33249343147326
BTCUSDT,S3,1780587784801,1780587808901,Long,63848.2671,63860.025440000005,1.0,11.758340000007593,35.116546905,35.123013992000004,-58.48122089699241,-9.15940612850124
BTCUSDT,S3,1780588102401,1780588103401,Long,63729.943439999995,63704.45656,1.0,-25.486879999996745,35.051468892,35.037451108,-95.57579999999675,-14.997000599879515
BTCUSDT,S3,1780588262001,1780588311201,Long,63790.55556,63789.639520000004,1.0,-0.9160399999964284,35.084805558,35.08430173600001,-71.08514729399644,-11.143522214214816
BTCUSDT,S3,1780588625501,1780588647801,Long,63818.06106,63824.63252000001,1.0,6.571460000006482,35.099933583,35.10354788600001,-63.63202146899353,-9.970848441974512
BTCUSDT,S3,1780588650801,1780588653801,Long,63900.7776,63871.42316,1.0,-29.354440000002796,35.145427680000005,35.129282738,-99.62915041800281,-15.591226610989287
BTCUSDT,S3,1780615807601,1780615921001,Long,63487.39494,63584.58054,1.0,97.18560000000434,34.918067217,34.971519297,27.29601348600434,4.299438260429644
BTCUSDT,S3,1780615926001,1780616041302,Long,63587.51496,63533.49076,1.0,-54.02419999999984,34.973133228,34.943419918000004,-123.94075314599984,-19.49136606831786
BTCUSDT,S3,1780616085201,1780616465801,Long,63593.416139999994,63718.45376,1.0,125.03762000000279,34.976378877,35.045149568,55.01609155500279,8.651224433970594
BTCUSDT,S3,1780616487001,1780616646601,Long,63731.14368,63714.45456,1.0,-16.68912000000273,35.052129024,35.042950008,-86.78419903200273,-13.617235470895402
BTCUSDT,S3,1780616651701,1780616657901,Long,63754.448339999995,63710.755300000004,1.0,-43.693039999991015,35.064946587,35.04091541500001,-113.79890200199102,-17.849562652492246
BTCUSDT,S3,1780616701001,1780616703001,Long,63758.84922,63697.85788,1.0,-60.991339999993215,35.067367071,35.033821834,-131.09252890499323,-20.560679891297642
BTCUSDT,S3,1780616707001,1780616967901,Long,63729.84342,63669.36358,1.0,-60.47983999999997,35.051413881,35.018149969,-130.54940384999998,-20.484814781300773
BTCUSDT,S3,1780616995801,1780617390201,Long,63738.845219999996,63805.936259999995,1.0,67.09103999999934,35.056364871,35.093264943,-3.058589814000662,-0.4798627592708468
BTCUSDT,S3,1780617466101,1780617633001,Long,63784.2543,63752.7469,1.0,-31.507400000002235,35.081339865000004,35.064010795,-101.65275066000224,-15.936966227102578
ETHUSDT,S2,1780498884974,1780498887374,Long,1858.361598,1857.57841,1.0,-0.7831879999998819,0.0,0.0,-0.7831879999998819,-4.214400474282088
ETHUSDT,S2,1780500442937,1780500446348,Long,1852.1903639999998,1852.22948,1.0,0.03911600000014914,0.0,0.0,0.03911600000014914,0.21118779559825604
ETHUSDT,S2,1780501144520,1780501146520,Long,1843.31859,1842.621402,1.0,-0.6971880000000965,0.0,0.0,-0.6971880000000965,-3.782243632665238
ETHUSDT,S2,1780501517516,1780501522489,Long,1845.369,1844.770972,1.0,-0.5980279999998857,0.0,0.0,-0.5980279999998857,-3.240696034234268
ETHUSDT,S2,1780504819887,1780504823755,Long,1826.16516,1825.7647740000002,1.0,-0.4003859999997985,0.0,0.0,-0.4003859999997985,-2.1924961047871405
ETHUSDT,S2,1780507528054,1780507536111,Long,1824.8649,1823.895148,1.0,-0.9697519999999713,0.0,0.0,-0.9697519999999713,-5.3141029782531914
ETHUSDT,S2,1780512044363,1780512049417,Long,1829.095746,1828.83416,1.0,-0.261585999999852,0.0,0.0,-0.261585999999852,-1.4301383652108282
ETHUSDT,S2,1780515474380,1780515477580,Long,1821.034134,1820.08591,1.0,-0.948223999999982,0.0,0.0,-0.948223999999982,-5.207063296046828
ETHUSDT,S2,1780515678903,1780515685960,Long,1820.944116,1820.615804,1.0,-0.32831199999986893,0.0,0.0,-0.32831199999986893,-1.8029768026108328
ETHUSDT,S2,1780517344437,1780517350222,Long,1804.9509179999998,1804.199088,1.0,-0.7518299999996998,0.0,0.0,-0.7518299999996998,-4.165376423824173
ETHUSDT,S2,1780518824318,1780518825363,Long,1804.840896,1804.109106,1.0,-0.731789999999819,0.0,0.0,-0.731789999999819,-4.054595624587503
