2026-06-12 10:32:05.489 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:32:07.242 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:32:07.243 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:32:30.358 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4686116, 'total_segments': 486, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4686116, 'segments': 486}}}
2026-06-12 10:32:37.453 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:32:39.238 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:32:39.239 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:33:00.506 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4695775, 'total_segments': 487, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4695775, 'segments': 487}}}
2026-06-12 10:33:09.430 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:33:11.226 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:33:11.227 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:33:30.665 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4695775, 'total_segments': 487, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4695775, 'segments': 487}}}
2026-06-12 10:33:41.428 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:33:43.205 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:33:43.206 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:34:00.789 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4705427, 'total_segments': 488, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4705427, 'segments': 488}}}
2026-06-12 10:34:13.398 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:34:15.138 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:34:15.138 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:34:30.964 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4705427, 'total_segments': 488, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4705427, 'segments': 488}}}
2026-06-12 10:34:45.327 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:34:47.110 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:34:47.111 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:34:58.222 | INFO     | bybit_edge.recorder.recording_engine | Recording duration 300 s reached — stopping.
2026-06-12 10:34:58.350 | INFO     | bybit_edge.recorder.recording_engine | Recorder stopped. messages=5 telemetry={'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4705427, 'total_segments': 488, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4705427, 'segments': 488}}}
2026-06-12 10:34:58.416 | INFO     | bybit_edge.recorder            | RecordingEngine finished. Telemetry: {"cap_gb": 5.0, "used_gb": 0.0044, "used_pct": 0.09, "total_bytes": 4705427, "total_segments": 488, "evictions": 0, "bytes_evicted": 0, "per_stream": {"premium_index_kline": {"bytes": 4705427, "segments": 488}}}
