date,rest_close,harvest_close,diff
2026-04-13,66.67,66.67,0.0
2026-04-14,65.71,65.71,0.0
2026-04-15,65.88,65.88,0.0
2026-04-16,65.68,65.68,0.0
2026-04-17,64.88,64.88,0.0
2026-04-18,67.59,67.59,0.0
2026-04-19,68.39,68.39,0.0
2026-04-20,65.42,65.42,0.0
2026-04-21,64.84,64.84,0.0
2026-04-22,63.81,63.81,0.0
2026-04-23,64.46,64.46,0.0
2026-04-24,60.65,60.65,0.0
2026-04-25,60.82,60.82,0.0
2026-04-26,61.58,61.58,0.0
2026-04-27,59.24,59.24,0.0
2026-04-28,57.63,57.63,0.0
2026-04-29,57.24,57.24,0.0
2026-04-30,56.02,56.02,0.0
2026-05-01,54.74,54.74,0.0
2026-05-02,54.86,54.86,0.0
2026-05-03,55.28,55.28,0.0
2026-05-04,55.86,55.86,0.0
2026-05-05,55.03,55.03,0.0
2026-05-06,55.56,55.56,0.0
2026-05-07,54.22,54.22,0.0
2026-05-08,53.45,53.45,0.0
2026-05-09,53.79,53.79,0.0
2026-05-10,54.61,54.61,0.0
2026-05-11,53.53,53.53,0.0
2026-05-12,53.33,53.33,0.0
2026-05-13,54.2,54.2,0.0
2026-05-14,54.21,54.21,0.0
2026-05-15,53.33,53.33,0.0
2026-05-16,54.13,54.13,0.0
2026-05-17,55.63,55.63,0.0
2026-05-18,52.99,52.99,0.0
2026-05-19,52.15,52.15,0.0
2026-05-20,52.0,52.0,0.0
2026-05-21,49.43,49.43,0.0
2026-05-22,50.29,50.29,0.0
2026-05-23,50.83,50.83,0.0
2026-05-24,51.3,51.3,0.0
2026-05-25,47.66,47.66,0.0
2026-05-26,48.78,48.78,0.0
2026-05-27,49.29,49.29,0.0
2026-05-28,49.24,49.24,0.0
2026-05-29,48.59,48.59,0.0
2026-05-30,48.91,48.91,0.0
2026-05-31,49.63,49.63,0.0
2026-06-01,49.25,49.25,0.0
2026-06-02,55.62,55.62,0.0
2026-06-03,60.4,60.4,0.0
2026-06-04,59.46,59.46,0.0
2026-06-05,68.3,68.3,0.0
2026-06-06,69.23,69.23,0.0
2026-06-07,67.21,67.21,0.0
2026-06-08,61.26,61.26,0.0
2026-06-09,61.31,61.31,0.0
2026-06-10,61.15,61.15,0.0
2026-06-11,56.84,56.84,0.0
2026-06-12,55.52,55.52,0.0
2026-06-13,55.59,55.59,0.0
2026-06-14,55.49,55.49,0.0
2026-06-15,54.25,54.25,0.0
2026-06-16,54.02,54.02,0.0
2026-06-17,55.98,55.98,0.0
2026-06-18,58.18,58.18,0.0
2026-06-19,57.13,57.13,0.0
2026-06-20,56.39,56.39,0.0
2026-06-21,58.17,58.17,0.0
2026-06-22,55.82,55.82,0.0
2026-06-23,56.18,56.18,0.0
2026-06-24,58.83,58.83,0.0
2026-06-25,60.76,60.76,0.0
2026-06-26,59.77,59.77,0.0
2026-06-27,59.87,59.87,0.0
2026-06-28,61.32,61.32,0.0
2026-06-29,57.93,57.93,0.0
2026-06-30,58.98,58.98,0.0
2026-07-01,56.89,56.89,0.0
2026-07-02,55.11,55.11,0.0
2026-07-03,53.55,53.55,0.0
2026-07-04,52.97,52.97,0.0
2026-07-05,53.08,53.08,0.0
2026-07-06,52.63,52.63,0.0
2026-07-07,53.27,53.27,0.0
2026-07-08,53.37,53.37,0.0
2026-07-09,51.99,51.99,0.0
2026-07-10,49.81,49.81,0.0
2026-07-11,50.58,50.58,0.0
2026-07-12,50.99,50.99,0.0
2026-07-13,51.07,51.07,0.0
2026-07-14,49.52,49.52,0.0
2026-07-15,49.03,49.03,0.0
2026-07-16,49.2,49.2,0.0
2026-07-17,48.96,48.96,0.0
2026-07-18,49.28,49.28,0.0
2026-07-19,49.74,49.74,0.0
2026-07-20,50.42,50.42,0.0
2026-07-21,50.99,50.99,0.0
2026-07-22,51.6,51.6,0.0
2026-07-23,51.63,51.63,0.0
2026-07-24,50.52,50.52,0.0
2026-07-25,51.52,51.52,0.0
2026-07-26,51.7,51.7,0.0
2026-07-27,51.87,51.87,0.0
2026-07-28,53.02,53.02,0.0
2026-07-29,52.46,52.46,0.0
2026-07-30,50.71,50.71,0.0
2026-07-31,50.21,50.21,0.0
2026-08-01,50.8,50.8,0.0
2026-08-04,47.81,47.81,0.0
2026-08-05,48.04,48.04,0.0
2026-08-06,47.98,47.98,0.0
2026-08-07,47.44,47.44,0.0
2026-08-08,48.08,48.08,0.0
2026-08-09,49.1,49.1,0.0
2026-08-10,49.72,49.72,0.0
2026-08-11,49.3,49.3,0.0
2026-08-12,49.36,49.36,0.0
2026-08-13,48.54,48.54,0.0
