week,sigma_xs,sigma_ls
2025-04-21,0.1859605567,0.0153814491
2025-04-28,0.1126810357,0.0043167354
2025-05-05,0.1939383014,0.0666898691
2025-05-12,0.1028428095,0.010357986
2025-05-19,0.0980523068,-0.0401068588
2025-05-26,0.1089202861,0.0183883549
2025-06-02,0.0816175684,-0.0021032964
2025-06-09,0.1334579144,-0.0154707681
2025-06-16,0.107521126,-0.0096970609
2025-06-23,0.0982290876,0.0287036225
2025-06-30,0.1029731351,-0.007602817
2025-07-07,0.1386890766,-0.0022202755
2025-07-14,0.1132829995,0.0096562211
2025-07-21,0.1249119282,0.0116550215
2025-07-28,0.0914888223,0.0149005265
2025-08-04,0.1126084905,0.0089978939
2025-08-11,0.1190307474,0.0246008932
2025-08-18,0.1102117081,-0.0053336695
2025-08-25,0.098861123,0.0175126106
2025-09-01,0.1054505212,-0.0176140259
2025-09-08,0.152440573,-0.0230199361
2025-09-15,0.1371364049,-0.0204310815
2025-09-22,0.1339795651,0.0416124318
2025-09-29,0.1365129818,0.0198520639
2025-10-06,0.2239423673,-0.0275756681
2025-10-13,0.1105966827,0.0142121063
2025-10-20,0.1416995942,-0.0112527791
2025-10-27,0.1232113592,-0.0151226544
2025-11-03,0.149590145,-0.0055936197
2025-11-10,0.1631897947,-0.0275479604
2025-11-17,0.1453746915,0.0139665625
2025-11-24,0.1566273665,-0.0669052235
2025-12-01,0.1226901261,-0.0143889414
2025-12-08,0.1172385452,0.024310375
2025-12-15,0.1211213805,0.0272400723
2025-12-22,0.1080677359,-0.0361101888
2025-12-29,0.1238945847,-0.055497986
2026-01-05,0.1096645615,0.008767252
2026-01-12,0.1299623484,-0.0140046868
2026-01-19,0.1341747758,0.0713815252
2026-01-26,0.1523658767,-0.0101445869
2026-02-02,0.1351283792,-0.0420049745
2026-02-09,0.1264494631,-0.0241794824
2026-02-16,0.1163046423,-0.0198217467
2026-02-23,0.1318622082,-0.0227132612
2026-03-02,0.158538061,-0.0217476259
2026-03-09,0.1233572003,-0.0399576355
2026-03-16,0.155980005,0.0191622194
2026-03-23,0.1494336716,-0.0189825006
2026-03-30,0.1374473692,0.0206058168
2026-04-06,0.1910954493,0.0356820932
2026-04-13,0.2125094832,-0.0166827984
2026-04-20,0.112808341,-0.0127298853
2026-04-27,0.1401328767,-0.0169564837
2026-05-04,0.1324320832,0.0146670641
2026-05-11,0.1315258352,-0.0054302227
2026-05-18,0.1119133401,-0.017384638
2026-05-25,0.1931783886,0.0307062546
2026-06-01,0.1872998201,-0.0168190966
2026-06-08,0.1874691436,0.0185678654
2026-06-15,0.1405608241,-0.0281057395
2026-06-22,0.1437844043,0.0339948706
2026-06-29,0.1271532941,-0.0105270977
2026-07-06,0.2108992192,0.0180315827
2026-07-13,0.1714994594,-0.0184912068
2026-07-20,0.1376154558,0.0283679666
2026-07-27,0.1461780668,0.0198268073
2026-08-03,0.1809322943,0.0184997062
2026-08-10,0.1761455022,0.0390925958
2026-08-17,0.1874711012,0.0137410016
2026-08-24,0.1615009116,0.0030193589
2026-08-31,0.144426658,-0.0089432075
2026-09-07,0.137338075,-0.0059605347
2026-09-14,0.0416190465,-0.0064480189
