week,k,rho
2024-09-23,259,-0.05516850539237023
2024-09-30,261,0.10956189550556489
2024-10-07,261,-0.0694420259042528
2024-10-14,261,-0.10227860233124776
2024-10-21,262,0.03619423562534467
2024-10-28,264,-0.11793007193681561
2024-11-04,267,0.02346613641263985
2024-11-11,271,-0.16765369124279478
2024-11-18,272,-0.08530914494665309
2024-11-25,273,0.027860610836136813
2024-12-02,274,0.04308479841326557
2024-12-09,279,-0.121355081833151
2024-12-16,281,-0.016973141948533787
2024-12-23,284,-0.2788952423860627
2024-12-30,285,0.1583281062895592
2025-01-06,287,0.12312179690228471
2025-01-13,292,0.30958248603555255
2025-01-20,299,0.4811389194406411
2025-01-27,302,0.22422166750788738
2025-02-03,304,-0.0016952989518106254
2025-02-10,310,-0.08901163417161537
2025-02-17,312,-0.2058822134893347
2025-02-24,314,0.2935860948233509
2025-03-03,320,-0.1867976005625055
2025-03-10,323,-0.22858830793949922
2025-03-17,326,0.17825770334803936
2025-03-24,328,0.3979610297483304
2025-03-31,329,-0.062433026236866404
2025-04-07,335,-0.17813286007941473
2025-04-14,338,-0.2990528286870295
2025-04-21,339,0.03510776253738653
2025-04-28,339,-0.039958231813435434
2025-05-05,341,-0.010344431027542981
2025-05-12,347,0.03926161138584145
2025-05-19,350,-0.04559715356276961
2025-05-26,353,-0.03223934621579506
2025-06-02,354,0.23025271231750227
2025-06-09,358,0.34624385311031763
2025-06-16,360,-0.4268249515058607
2025-06-23,372,0.04954121308143706
2025-06-30,374,-0.24857415664291552
2025-07-07,375,-0.0050460806147503
2025-07-14,379,-0.07728490090662012
2025-07-21,382,-0.24683958402142972
2025-07-28,383,0.0953465091650009
2025-08-04,387,0.07815707885485339
2025-08-11,390,0.0472998632621296
2025-08-18,392,0.04800745389426929
2025-08-25,393,-0.17429854105396178
2025-09-01,397,-0.3173462150842757
2025-09-08,402,0.02082568202774066
2025-09-15,411,0.13705101192461858
2025-09-22,422,0.09321909031098626
2025-09-29,426,0.2616445543713412
2025-10-06,432,0.021024114569658258
2025-10-13,435,-0.06603638526570224
2025-10-20,437,0.17106823317206415
2025-10-27,441,0.014042959841279169
2025-11-03,448,0.24584767577678746
2025-11-10,457,-0.009369937844716902
2025-11-17,465,-0.14183475624545747
2025-11-24,472,-0.024200945862269105
2025-12-01,480,0.148614852620206
2025-12-08,487,0.06860834645531855
2025-12-15,492,-0.2588384821810649
2025-12-22,497,-0.2771484267609365
2025-12-29,498,-0.13855443884677165
2026-01-05,502,-0.19037550824072433
2026-01-12,505,-0.14904735815196427
2026-01-19,507,0.08090907065178257
2026-01-26,508,0.15974839324621978
2026-02-02,512,-0.15175880268593858
2026-02-09,513,0.19907747538394435
2026-02-16,515,-0.004509718061575899
2026-02-23,518,-0.07345836013896523
2026-03-02,523,-0.08807465182796922
2026-03-09,523,0.04188331738703503
2026-03-16,537,0.060300974825153585
2026-03-23,539,-0.06926648453403018
2026-03-30,540,-0.12988712428902552
2026-04-06,543,-0.18093618739113304
2026-04-13,543,-0.004897813440272849
2026-04-20,544,0.011837381817748134
2026-04-27,545,-0.107782597866246
2026-05-04,547,-0.3028181291263072
2026-05-11,556,-0.036893639050620826
2026-05-18,559,-0.03891254473839176
2026-05-25,562,0.12017954593707043
2026-06-01,562,-0.19655907801796857
2026-06-08,564,0.10941004176124287
2026-06-15,569,0.1508649901443626
2026-06-22,580,-0.14505963823132445
2026-06-29,588,-0.0042739071199930445
2026-07-06,600,0.05159880999669444
2026-07-13,607,-0.11989254306549113
2026-07-20,613,0.17286593793268645
2026-07-27,626,-0.11717066960784712
2026-08-03,631,0.00033673121398050687
2026-08-10,636,-0.3272852919095252
2026-08-17,651,-0.15893974593419366
2026-08-24,664,0.10504179243809988
2026-08-31,678,-0.06580508279859423
2026-09-07,700,0.1769950990044895
