week,n_symbols,lump_share,neg_share,pos_share,d1_degenerate,d10_degenerate
2024-04-15,304,0.2993421053,0.6875,0.0131578947,False,True
2024-04-22,306,0.3594771242,0.6241830065,0.0163398693,False,True
2024-04-29,308,0.3181818182,0.6720779221,0.0097402597,False,True
2024-05-06,313,0.4217252396,0.552715655,0.0255591054,False,True
2024-05-13,317,0.4100946372,0.5520504732,0.0378548896,False,True
2024-05-20,320,0.403125,0.225,0.371875,False,False
2024-05-27,325,0.2676923077,0.0984615385,0.6338461538,True,False
2024-06-03,326,0.1625766871,0.0736196319,0.763803681,True,False
2024-06-10,329,0.556231003,0.3981762918,0.0455927052,False,True
2024-06-17,339,0.2890855457,0.6932153392,0.017699115,False,True
2024-06-24,340,0.3970588235,0.5735294118,0.0294117647,False,True
2024-07-01,345,0.3014492754,0.6753623188,0.0231884058,False,True
2024-07-08,352,0.2897727273,0.6875,0.0227272727,False,True
2024-07-15,357,0.3417366947,0.6134453782,0.0448179272,False,True
2024-07-22,361,0.379501385,0.5900277008,0.0304709141,False,True
2024-07-29,365,0.3178082192,0.6712328767,0.0109589041,False,True
2024-08-05,369,0.2222222222,0.7723577236,0.0054200542,False,True
2024-08-12,373,0.2171581769,0.7828418231,0.0,False,True
2024-08-19,377,0.2281167109,0.7427055703,0.0291777188,False,True
2024-08-26,377,0.2122015915,0.7692307692,0.0185676393,False,True
2024-09-02,379,0.1794195251,0.8100263852,0.0105540897,False,True
2024-09-09,384,0.2473958333,0.7291666667,0.0234375,False,True
2024-09-16,386,0.2564766839,0.6994818653,0.0440414508,False,True
2024-09-23,382,0.3926701571,0.5157068063,0.0916230366,False,True
2024-09-30,387,0.2713178295,0.6795865633,0.0490956072,False,True
2024-10-07,388,0.3092783505,0.6108247423,0.0798969072,False,True
2024-10-14,391,0.5166240409,0.3708439898,0.1125319693,False,False
2024-10-21,393,0.417302799,0.4987277354,0.0839694656,False,True
2024-10-28,396,0.4116161616,0.5151515152,0.0732323232,False,True
2024-11-04,396,0.2373737374,0.345959596,0.4166666667,False,False
2024-11-11,401,0.1645885287,0.0773067332,0.7581047382,True,False
2024-11-18,403,0.094292804,0.0521091811,0.8535980149,True,False
2024-11-25,407,0.058968059,0.0737100737,0.8673218673,True,False
2024-12-02,410,0.0170731707,0.0268292683,0.956097561,True,False
2024-12-09,415,0.0385542169,0.1301204819,0.8313253012,False,False
2024-12-16,419,0.4128878282,0.4510739857,0.1360381862,False,False
2024-12-23,419,0.4224343675,0.5250596659,0.0525059666,False,True
2024-12-30,419,0.38424821,0.4439140811,0.1718377088,False,False
2025-01-06,427,0.355971897,0.4847775176,0.1592505855,False,False
2025-01-13,435,0.2827586207,0.4712643678,0.2459770115,False,False
2025-01-20,442,0.5859728507,0.3099547511,0.1040723982,False,False
2025-01-27,443,0.39503386,0.5778781038,0.0270880361,False,True
2025-02-03,449,0.1714922049,0.8195991091,0.008908686,False,True
2025-02-10,457,0.2297592998,0.7636761488,0.0065645514,False,True
2025-02-17,459,0.2156862745,0.6775599129,0.1067538126,False,False
2025-02-24,460,0.3804347826,0.5652173913,0.0543478261,False,True
2025-03-03,466,0.2618025751,0.7167381974,0.0214592275,False,True
2025-03-10,474,0.1582278481,0.8248945148,0.0168776371,False,True
2025-03-17,477,0.1572327044,0.8259958071,0.0167714885,False,True
2025-03-24,475,0.1852631579,0.8021052632,0.0126315789,False,True
2025-03-31,478,0.1987447699,0.7845188285,0.0167364017,False,True
2025-04-07,484,0.1363636364,0.8285123967,0.0351239669,False,True
2025-04-14,483,0.1718426501,0.7991718427,0.0289855072,False,True
2025-04-21,483,0.231884058,0.7142857143,0.0538302277,False,True
2025-04-28,481,0.2598752599,0.6943866944,0.0457380457,False,True
2025-05-05,486,0.2551440329,0.6625514403,0.0823045267,False,True
2025-05-12,490,0.3795918367,0.5204081633,0.1,False,False
2025-05-19,492,0.3455284553,0.5914634146,0.0630081301,False,True
2025-05-26,494,0.2894736842,0.6538461538,0.0566801619,False,True
2025-06-02,496,0.2681451613,0.6834677419,0.0483870968,False,True
2025-06-09,500,0.274,0.674,0.052,False,True
2025-06-16,504,0.246031746,0.7182539683,0.0357142857,False,True
2025-06-23,514,0.2217898833,0.7470817121,0.0311284047,False,True
2025-06-30,515,0.2349514563,0.7223300971,0.0427184466,False,True
2025-07-07,514,0.2490272374,0.6420233463,0.1089494163,False,False
2025-07-14,517,0.3675048356,0.2611218569,0.3713733075,False,False
2025-07-21,520,0.3884615385,0.2192307692,0.3923076923,False,False
2025-07-28,521,0.320537428,0.556621881,0.122840691,False,False
2025-08-04,523,0.2944550669,0.5449330784,0.1606118547,False,False
2025-08-11,526,0.2908745247,0.5171102662,0.1920152091,False,False
2025-08-18,527,0.2580645161,0.5863377609,0.155597723,False,False
2025-08-25,528,0.3162878788,0.5738636364,0.1098484848,False,False
2025-09-01,530,0.3358490566,0.5396226415,0.1245283019,False,False
2025-09-08,535,0.4355140187,0.3177570093,0.246728972,False,False
2025-09-15,545,0.319266055,0.3669724771,0.3137614679,False,False
2025-09-22,556,0.25,0.5647482014,0.1852517986,False,False
2025-09-29,561,0.3654188948,0.4670231729,0.1675579323,False,False
2025-10-06,556,0.0899280576,0.7607913669,0.1492805755,False,False
2025-10-13,558,0.2419354839,0.6827956989,0.0752688172,False,True
2025-10-20,546,0.2344322344,0.6831501832,0.0824175824,False,True
2025-10-27,547,0.197440585,0.7166361974,0.0859232176,False,True
2025-11-03,550,0.1672727273,0.74,0.0927272727,False,True
2025-11-10,559,0.1788908766,0.7262969589,0.0948121646,False,True
2025-11-17,563,0.1438721137,0.7602131439,0.0959147425,False,True
2025-11-24,571,0.1751313485,0.7285464098,0.0963222417,False,True
2025-12-01,575,0.1565217391,0.7391304348,0.1043478261,False,False
2025-12-08,581,0.1342512909,0.760757315,0.1049913941,False,False
2025-12-15,584,0.1438356164,0.7585616438,0.0976027397,False,True
2025-12-22,590,0.1627118644,0.7288135593,0.1084745763,False,False
2025-12-29,589,0.156196944,0.714770798,0.1290322581,False,False
2026-01-05,592,0.1790540541,0.6756756757,0.1452702703,False,False
2026-01-12,594,0.1734006734,0.6936026936,0.132996633,False,False
2026-01-19,597,0.1574539363,0.7353433836,0.1072026801,False,False
2026-01-26,596,0.1795302013,0.7231543624,0.0973154362,False,True
2026-02-02,595,0.2134453782,0.6907563025,0.0957983193,False,True
2026-02-09,592,0.2162162162,0.6976351351,0.0861486486,False,True
2026-02-16,590,0.1474576271,0.7610169492,0.0915254237,False,True
2026-02-23,593,0.1247892074,0.7689713322,0.1062394604,False,False
2026-03-02,594,0.138047138,0.7626262626,0.0993265993,False,True
2026-03-09,589,0.1290322581,0.7606112054,0.1103565365,False,False
2026-03-16,603,0.135986733,0.7412935323,0.1227197347,False,False
2026-03-23,602,0.1312292359,0.7475083056,0.1212624585,False,False
2026-03-30,600,0.1316666667,0.755,0.1133333333,False,False
2026-04-06,598,0.1304347826,0.7224080268,0.1471571906,False,False
2026-04-13,593,0.1399662732,0.6897133221,0.1703204047,False,False
2026-04-20,590,0.1322033898,0.7016949153,0.1661016949,False,False
2026-04-27,589,0.1494057725,0.6791171477,0.1714770798,False,False
2026-05-04,586,0.162116041,0.6279863481,0.2098976109,False,False
2026-05-11,593,0.1433389545,0.6930860034,0.1635750422,False,False
2026-05-18,593,0.1787521079,0.7133220911,0.107925801,False,False
2026-05-25,596,0.1728187919,0.7097315436,0.1174496644,False,False
2026-06-01,593,0.1534569983,0.6779089376,0.1686340641,False,False
2026-06-08,592,0.1689189189,0.6773648649,0.1537162162,False,False
2026-06-15,592,0.1739864865,0.6722972973,0.1537162162,False,False
2026-06-22,602,0.1810631229,0.6710963455,0.1478405316,False,False
2026-06-29,606,0.1864686469,0.6303630363,0.1831683168,False,False
2026-07-06,618,0.21197411,0.6343042071,0.1537216828,False,False
2026-07-13,622,0.192926045,0.6672025723,0.1398713826,False,False
2026-07-20,625,0.1872,0.6592,0.1536,False,False
2026-07-27,633,0.1532385466,0.6714060032,0.1753554502,False,False
2026-08-03,638,0.1598746082,0.6457680251,0.1943573668,False,False
2026-08-10,643,0.1881804044,0.632970451,0.1788491446,False,False
2026-08-17,657,0.1491628615,0.5844748858,0.2663622527,False,False
2026-08-24,668,0.2679640719,0.5389221557,0.1931137725,False,False
2026-08-31,681,0.2158590308,0.5947136564,0.1894273128,False,False
2026-09-07,701,0.1982881598,0.634807418,0.1669044223,False,False
2026-09-14,719,0.0111265647,0.9471488178,0.0417246175,False,True
