week,k,rho
2024-09-23,382,-0.08944009645193526
2024-09-30,386,0.0831977357100866
2024-10-07,388,-0.09801426054178719
2024-10-14,389,-0.06608171993908617
2024-10-21,392,0.0607654943822866
2024-10-28,392,-0.1546487905475231
2024-11-04,396,-0.009879427505292379
2024-11-11,399,-0.1848103298447123
2024-11-18,403,-0.04857740875750476
2024-11-25,406,0.04434949952191331
2024-12-02,410,0.05061451157049004
2024-12-09,415,-0.049029730963989736
2024-12-16,416,0.02337929471066335
2024-12-23,418,-0.2520374628800688
2024-12-30,418,0.2510332212242333
2025-01-06,427,0.08761162038879516
2025-01-13,432,0.28502262731698547
2025-01-20,436,0.43120699428170994
2025-01-27,443,0.16328434294175895
2025-02-03,449,-0.054702380952380954
2025-02-10,454,-0.052174094248954944
2025-02-17,457,-0.1959948340556033
2025-02-24,458,0.23716216473625976
2025-03-03,466,-0.1917051792379862
2025-03-10,471,-0.2235594139116733
2025-03-17,472,0.1880172292000797
2025-03-24,475,0.36185456194469795
2025-03-31,476,0.015107525058693495
2025-04-07,479,-0.26370150942077725
2025-04-14,482,-0.32492888040425477
2025-04-21,478,-0.05792469256522697
2025-04-28,481,0.005919009497847672
2025-05-05,484,-0.09018642007517766
2025-05-12,489,-0.017268327425509076
2025-05-19,491,-0.06971712831970998
2025-05-26,493,-0.04076874805587698
2025-06-02,495,0.22663140481476646
2025-06-09,499,0.34919478352354805
2025-06-16,502,-0.3880423446875668
2025-06-23,511,0.05556268651169418
2025-06-30,512,-0.21184623588079787
2025-07-07,512,0.023942115382771367
2025-07-14,517,-0.13479299228928127
2025-07-21,520,-0.1948884553273081
2025-07-28,518,0.058903178487178964
2025-08-04,523,0.04875671392390299
2025-08-11,525,0.011250940463600853
2025-08-18,527,0.06897759494061108
2025-08-25,525,-0.1129434739861649
2025-09-01,529,-0.32097633970694567
2025-09-08,535,0.03394547011441831
2025-09-15,544,0.08041938859785386
2025-09-22,554,0.07053140050590921
2025-09-29,550,0.19790105504424718
2025-10-06,553,-0.05583122325024417
2025-10-13,542,-0.07265466012571095
2025-10-20,543,0.13685515795684444
2025-10-27,543,0.01884038461769083
2025-11-03,549,0.23861092678610926
2025-11-10,555,-0.004328269260871915
2025-11-17,563,-0.12624464928383575
2025-11-24,567,0.01952906451154685
2025-12-01,574,0.16720777145190768
2025-12-08,579,0.08613524422685657
2025-12-15,584,-0.23525175608401247
2025-12-22,588,-0.26057467542615204
2025-12-29,588,-0.1268916467046044
2026-01-05,591,-0.18276698577610562
2026-01-12,594,-0.16473350850892762
2026-01-19,594,0.10215926321471407
2026-01-26,591,0.15173031803204737
2026-02-02,591,-0.15185169898453904
2026-02-09,588,0.20876876426995608
2026-02-16,590,0.030344231854909656
2026-02-23,588,-0.07380697482800573
2026-03-02,589,-0.08841818676191376
2026-03-09,589,0.06952869951180381
2026-03-16,600,0.08167644910124751
2026-03-23,599,-0.06301037196946827
2026-03-30,595,-0.09314081540690305
2026-04-06,593,-0.15186511321586094
2026-04-13,589,-0.0032741386387941268
2026-04-20,588,0.020623847830348447
2026-04-27,584,-0.09142698431920453
2026-05-04,584,-0.3030540152562569
2026-05-11,590,-0.040243402410214395
2026-05-18,593,-0.030807166263024
2026-05-25,593,0.10760791452191115
2026-06-01,590,-0.17238483108888852
2026-06-08,587,0.118767189882622
2026-06-15,591,0.16617453511327726
2026-06-22,598,-0.13862302618670652
2026-06-29,606,0.014026063382135728
2026-07-06,615,0.05296383921155511
2026-07-13,619,-0.11594181157222808
2026-07-20,620,0.1727316601223074
2026-07-27,633,-0.10539930685807268
2026-08-03,638,0.006221050625407803
2026-08-10,642,-0.314155471699893
2026-08-17,655,-0.14713990427631982
2026-08-24,667,0.10767304189458356
2026-08-31,679,-0.06173093450499441
2026-09-07,701,0.18015319437526356
