symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-10-27,445503,OTHER,False,realized_vol,1.7399565818365823,0.588239809410905,6.3674469011171055,0.10885794437301699,0.3512365211389681,287,True,4,False,0.9525118280309468
BTCUSDT,2020-10-28,445527,OTHER,False,activity_volume,3.6711976665721067,0.5783245327175836,6.571441111057147,0.10547871750591382,0.3344390208289433,287,True,24.0,True,0.21792902462647532
BTCUSDT,2020-10-28,445527,OTHER,False,activity_ntrades,4.68213122712422,0.6061000276360032,6.008522933141486,0.1153606615590533,0.36739290325713214,287,True,24.0,True,0.11771897906616087
BTCUSDT,2020-10-28,445527,OTHER,False,realized_vol,2.4847049272741533,0.3161140717396671,13.819825728206979,0.050156000096672426,0.09979935538746565,287,True,24.0,True,0.15534379545308855
BTCUSDT,2020-10-29,445552,OTHER,False,activity_volume,3.144518507105426,0.4426855387419821,9.778747269868257,0.0708830243210983,0.1961109316766958,287,True,12,False,0.7782134106960954
BTCUSDT,2020-10-29,445552,OTHER,False,activity_ntrades,4.212100162283536,0.54284713749014,7.33113016118449,0.09454847551744376,0.2952401638802429,287,True,5,False,0.5134527020818619
BTCUSDT,2020-10-29,445552,OTHER,False,realized_vol,2.240730646522664,0.32802102814371586,13.376130749504501,0.05181970732348156,0.10767374002287189,287,True,12,False,0.2556109282729839
BTCUSDT,2020-10-31,445587,OTHER,False,activity_volume,3.5124314659761517,0.4367728138803797,9.940105149278779,0.06973237909965548,0.19056218231001598,287,True,24.0,True,0.10327165982252041
BTCUSDT,2020-10-31,445587,OTHER,False,activity_ntrades,4.48863636973214,0.5977305620146224,6.175382301113292,0.11224360642983762,0.357116978426649,287,True,24.0,True,0.15861924030227434
BTCUSDT,2020-10-31,445587,OTHER,False,realized_vol,2.3852782981851823,0.4918411033368411,8.515194904204126,0.08140121140594496,0.2414666678357431,287,True,9,False,0.3803862177168611
BTCUSDT,2020-11-02,445640,OTHER,False,activity_volume,2.974220649135418,0.5881672634664559,6.3689269182889925,0.10883264786246892,0.35034733466574686,287,True,21,False,0.8694585099544968
BTCUSDT,2020-11-02,445640,OTHER,False,activity_ntrades,4.02535169073515,0.6440335105718925,5.280054230184446,0.1312765267821372,0.4231307902825985,287,True,15,False,0.9281978667953391
BTCUSDT,2020-11-02,445640,OTHER,False,realized_vol,1.842183500141728,0.5590729069413652,6.977704685580069,0.09933741993873486,0.31666847250802277,287,True,15,False,0.6191181693661989
