week,ic,k
2026-05-18,-0.0387693367,560
2026-05-25,0.1183084728,563
2026-06-01,-0.1974051753,563
2026-06-08,0.1094647884,565
2026-06-15,0.1514552296,570
2026-06-22,-0.143097605,581
2026-06-29,-0.0039313507,589
2026-07-06,0.0526864418,601
2026-07-13,-0.1199541693,608
2026-07-20,0.1734169398,614
2026-07-27,-0.1177092073,627
2026-08-03,0.0002914964,632
2026-08-10,-0.3232756183,637
2026-08-17,-0.154100836,652
2026-08-24,0.1006036144,665
2026-08-31,-0.0617309345,679
2026-09-07,0.1764566784,701
